Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,D̼n Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
31,390.0,457.0,708.0,1814.0,1970.0,892.0,6079.0,1555.0,2180.0,705.0,972.0,813.0,1594.0,614.0,512.0,211.0,1317.0,252.0,880.0,737.0,1331.0,383.0,482.0,385.0,361.0,2065.0,908.0,749.0,590.0,914.0,890.0
32,384.0,530.0,688.0,1837.0,2050.0,936.0,5964.0,1649.0,2240.0,699.0,1047.0,843.0,1551.0,572.0,530.0,217.0,1356.0,271.0,873.0,763.0,1427.0,372.0,476.0,355.0,381.0,2161.0,947.0,779.0,633.0,976.0,875.0
33,384.0,489.0,695.0,1705.0,2023.0,961.0,5700.0,1581.0,2439.0,628.0,1100.0,919.0,1665.0,568.0,583.0,206.0,1313.0,288.0,922.0,758.0,1402.0,401.0,490.0,373.0,432.0,2184.0,945.0,776.0,607.0,1009.0,943.0
34,414.0,513.0,741.0,1774.0,2216.0,1077.0,5545.0,1556.0,2599.0,721.0,1177.0,907.0,1780.0,636.0,631.0,217.0,1424.0,337.0,941.0,856.0,1556.0,417.0,532.0,399.0,416.0,2330.0,1024.0,846.0,663.0,1058.0,981.0
35,446.0,560.0,787.0,1780.0,2430.0,1057.0,5444.0,1548.0,2691.0,667.0,1292.0,1002.0,1864.0,741.0,698.0,227.0,1468.0,317.0,1044.0,871.0,1652.0,444.0,528.0,476.0,441.0,2409.0,1175.0,938.0,731.0,1152.0,1060.0
36,438.0,602.0,828.0,1760.0,2584.0,1107.0,5218.0,1677.0,2843.0,707.0,1301.0,1032.0,2015.0,717.0,717.0,240.0,1593.0,347.0,1034.0,909.0,1723.0,473.0,581.0,459.0,491.0,2539.0,1135.0,905.0,780.0,1122.0,1153.0
37,457.0,604.0,923.0,1872.0,2611.0,1115.0,4902.0,1694.0,2808.0,657.0,1354.0,1122.0,2009.0,708.0,737.0,234.0,1555.0,345.0,1044.0,973.0,1731.0,452.0,598.0,518.0,515.0,2541.0,1140.0,889.0,719.0,1175.0,1191.0
38,483.0,684.0,955.0,1737.0,2723.0,1119.0,5053.0,1801.0,2926.0,707.0,1485.0,1220.0,2114.0,803.0,820.0,252.0,1594.0,378.0,1127.0,963.0,1852.0,490.0,611.0,513.0,523.0,2511.0,1194.0,954.0,794.0,1239.0,1277.0
39,553.0,656.0,945.0,1858.0,3007.0,1237.0,4939.0,1878.0,3147.0,747.0,1534.0,1229.0,2246.0,832.0,839.0,253.0,1690.0,388.0,1092.0,1033.0,1858.0,543.0,668.0,509.0,514.0,2797.0,1300.0,977.0,757.0,1230.0,1336.0
40,487.0,630.0,999.0,1879.0,3058.0,1293.0,4809.0,1910.0,3131.0,687.0,1652.0,1239.0,2276.0,776.0,814.0,271.0,1657.0,409.0,1170.0,1126.0,1927.0,518.0,706.0,556.0,538.0,2822.0,1297.0,978.0,781.0,1347.0,1400.0
